,Title,Rating,Year,Director,Date of release,Duration,Genre,Type,Platform
20,leyla and mecnun,8.7,2011,"Ali Atay, Serkan Keskin",2014,3 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Tv Show,Netflix
21,twin peaks,8.7,1990,"Kyle MacLachlan, Michael Ontkean",1990,2 Seasons,"Classic & Cult TV, Crime TV Shows, TV Dramas",Tv Show,Netflix
22,twin peaks,8.5,2017,"Kyle MacLachlan, Sheryl Lee",1990,2 Seasons,"Classic & Cult TV, Crime TV Shows, TV Dramas",Tv Show,Netflix
23,black mirror,8.7,2011,"Daniel Lapaine, Hannah John-Kamen",2019,5 Seasons,"British TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
24,narcos,8.7,2015,"Pedro Pascal, Wagner Moura",2017,3 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas",Tv Show,Netflix
25,chappelle's show,8.7,2003,"Dave Chappelle, Donnell Rawlings",2005,2 Seasons,TV Comedies,Tv Show,Netflix
26,bojack horseman,8.7,2014,"Will Arnett, Amy Sedaris",2020,6 Seasons,TV Comedies,Tv Show,Netflix
27,peaky blinders,8.7,2013,"Cillian Murphy, Paul Anderson",2019,5 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",Tv Show,Netflix
28,one piece,8.7,1999,"Mayumi Tanaka, Laurent Vernin",2002,4 Seasons,Anime Series,Tv Show,Netflix
29,dark,8.7,2017,"Louis Hofmann, Karoline Eichhorn",2020,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
30,kota factory,8.7,2019,"Mayur More, Jitendra Kumar",2021,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Tv Show,Netflix
31,arrested development,8.7,2003,"Jason Bateman, Michael Cera",2019,5 Seasons,TV Comedies,Tv Show,Netflix
32,stranger things,8.7,2016,"Millie Bobby Brown, Finn Wolfhard",2019,3 Seasons,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",Tv Show,Netflix
33,downton abbey,8.6,2010,"Hugh Bonneville, Phyllis Logan",2015,6 Seasons,"British TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
34,mad men,8.6,2007,"Jon Hamm, Elisabeth Moss",2014,7 Seasons,TV Dramas,Tv Show,Netflix
35,house of cards,8.6,2013,"Kevin Spacey, Michel Gill",2018,6 Seasons,"TV Dramas, TV Thrillers",Tv Show,Netflix
36,the crown,8.6,2016,"Claire Foy, Olivia Colman",2020,4 Seasons,"British TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
37,star trek: the next generation,8.6,1987,"Patrick Stewart, Brent Spiner",1993,7 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",Tv Show,Netflix
38,friday night lights,8.6,2006,"Kyle Chandler, Connie Britton",2010,5 Seasons,"TV Dramas, Teen TV Shows",Tv Show,Netflix
39,dexter,8.6,2006,"Michael C. Hall, Jennifer Carpenter",2013,8 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",Tv Show,Netflix
40,parks and recreation,8.6,2009,"Amy Poehler, Jim O'Heir",2015,7 Seasons,TV Comedies,Tv Show,Netflix
41,demon slayer: kimetsu no yaiba,8.6,2019,"Natsuki Hanae, Zach Aguilar",2019,1 Season,"Anime Series, International TV Shows",Tv Show,Netflix
42,the bridge,8.6,2011,"Sofia Helin, Rafael Pettersson",2017,119 min,"Dramas, International Movies, Romantic Movies",Tv Show,Netflix
43,mystery science theater 3000,8.6,1988,"Joel Hodgson, Michael J. Nelson",1999,1 Season,"TV Comedies, TV Sci-Fi & Fantasy",Tv Show,Netflix
44,gomorrah,8.6,2014,"Salvatore Esposito, Marco D'Amore",2016,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
45,mahabharat,8.6,1988,"Harish Bhimani, Nitish Bharadwaj",2013,119 min,"Action & Adventure, Dramas, International Movies",Tv Show,Netflix
46,mindhunter,8.5,2017,"Jonathan Groff, Holt McCallany",2019,2 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",Tv Show,Netflix
47,making a murderer,8.5,2015,"Steven Avery, Dolores Avery",2018,2 Seasons,"Crime TV Shows, Docuseries",Tv Show,Netflix
48,monster,8.5,2004,"Hidenobu Kiuchi, Liam O'Brien",2021,99 min,Dramas,Tv Show,Netflix
49,anne with an e,8.5,2017,"Amybeth McNulty, Geraldine James",2019,3 Seasons,"International TV Shows, TV Dramas, Teen TV Shows",Tv Show,Netflix
50,yeh meri family,8.5,2018,"Vishesh Bansal, Mona Singh",2018,1 Season,"International TV Shows, TV Comedies",Tv Show,Netflix
